date,device,post,impression,complete,complete_rate
2026-04-20,android,FALSE,1946,1778,0.9136690647482014
2026-04-21,android,FALSE,1976,1801,0.9114372469635628
2026-04-22,android,FALSE,1882,1737,0.9229543039319873
2026-04-23,android,FALSE,2041,1872,0.9171974522292994
2026-04-24,android,FALSE,1995,1843,0.9238095238095239
2026-04-25,android,FALSE,2003,1835,0.9161258112830754
2026-04-26,android,FALSE,1895,1739,0.9176781002638522
2026-04-27,android,FALSE,1923,1783,0.9271970878835153
2026-04-28,android,FALSE,1885,1740,0.9230769230769231
2026-04-29,android,FALSE,1946,1789,0.9193216855087358
2026-04-30,android,FALSE,2014,1859,0.923038728897716
2026-05-01,android,FALSE,1916,1762,0.9196242171189979
2026-05-02,android,FALSE,1998,1836,0.918918918918919
2026-05-03,android,FALSE,1949,1778,0.9122626988199076
2026-05-04,android,FALSE,1957,1793,0.9161982626469085
2026-05-05,android,FALSE,2039,1874,0.9190779794016675
2026-05-06,android,FALSE,1918,1777,0.9264859228362878
2026-05-07,android,FALSE,1896,1753,0.92457805907173
2026-05-08,android,FALSE,1903,1767,0.928533893851813
2026-05-09,android,FALSE,1905,1751,0.9191601049868766
2026-05-10,android,FALSE,1928,1762,0.9139004149377593
2026-05-11,android,FALSE,1968,1806,0.9176829268292683
2026-05-12,android,FALSE,2024,1859,0.9184782608695652
2026-05-13,android,FALSE,2020,1847,0.9143564356435644
2026-05-14,android,FALSE,1935,1781,0.9204134366925064
2026-05-15,android,FALSE,2018,1854,0.9187314172447968
2026-05-16,android,FALSE,1933,1781,0.9213657527159855
2026-05-17,android,FALSE,1973,1779,0.9016725798276736
2026-05-18,android,FALSE,1949,1787,0.9168804515135968
2026-05-19,android,FALSE,1972,1813,0.9193711967545639
2026-05-20,android,FALSE,1942,1796,0.9248197734294542
2026-05-21,android,FALSE,1902,1759,0.92481598317560465
2026-05-22,android,FALSE,1889,1748,0.9253573319216517
2026-05-23,android,FALSE,2001,1837,0.9180409795102449
2026-05-24,android,FALSE,1885,1695,0.8992042440318302
2026-05-25,android,FALSE,1894,1733,0.9149947201689546
2026-05-26,android,FALSE,1878,1719,0.9153354632587859
2026-05-27,android,FALSE,1873,1728,0.9225840896956754
2026-05-28,android,FALSE,1962,1789,0.9118246687054027
2026-05-29,android,FALSE,1941,1774,0.913961875321999
2026-05-30,android,FALSE,1898,1751,0.9225500526870389
2026-05-31,android,FALSE,1943,1772,0.9119917653113742
2026-06-01,android,TRUE,1879,1715,0.9127195316657797
2026-06-02,android,TRUE,2048,1876,0.916015625
2026-06-03,android,TRUE,1883,1726,0.9166224110462029
2026-06-04,android,TRUE,1822,1683,0.9237102085620198
2026-06-05,android,TRUE,2018,1855,0.9192269573835481
2026-06-06,android,TRUE,1906,1747,0.916579223504722
2026-06-07,android,TRUE,1945,1789,0.9197943444730077
2026-06-08,android,TRUE,1938,1776,0.9164086687306502
2026-06-09,android,TRUE,1998,1843,0.92242242242242245
2026-06-10,android,TRUE,1949,1798,0.9225243714725501
2026-06-11,android,TRUE,1981,1820,0.9187279151943463
2026-06-12,android,TRUE,1995,1838,0.9213032581453634
2026-06-13,android,TRUE,1959,1783,0.9101582440020418
2026-06-14,android,TRUE,1911,1753,0.9173207744636316
2026-06-15,android,TRUE,1901,1753,0.9221462388216728
2026-06-16,android,TRUE,1925,1784,0.9267532467532468
2026-06-17,android,TRUE,1945,1786,0.9182519280205655
2026-06-18,android,TRUE,1995,1837,0.9208020050125313
2026-06-19,android,TRUE,1956,1769,0.90439672801636
2026-06-20,android,TRUE,1967,1797,0.9135739705134723
2026-06-21,android,TRUE,1946,1786,0.9177800616649537
2026-06-22,android,TRUE,1995,1845,0.924812030075188
2026-06-23,android,TRUE,1953,1800,0.9216589861751152
2026-06-24,android,TRUE,1946,1800,0.9249743062692704
2026-06-25,android,TRUE,1975,1809,0.9159493670886076
2026-06-26,android,TRUE,1966,1800,0.9155645981688708
2026-06-27,android,TRUE,1931,1767,0.9150699119627136
2026-06-28,android,TRUE,1974,1792,0.9078014184397163
2026-06-29,android,TRUE,1899,1736,0.9141653501843076
2026-06-30,android,TRUE,1987,1836,0.9240060392551586
2026-07-01,android,TRUE,2025,1885,0.9308641975308642
2026-07-02,android,TRUE,1961,1807,0.9214686384497706
2026-07-03,android,TRUE,1931,1778,0.9207664422578975
2026-07-04,android,TRUE,1874,1704,0.9092849519743863
2026-07-05,android,TRUE,1908,1756,0.9203354297693921
2026-07-06,android,TRUE,2025,1871,0.9239506172839507
2026-07-07,android,TRUE,1930,1789,0.9269430051813472
2026-07-08,android,TRUE,2066,1905,0.9220716360116167
2026-07-09,android,TRUE,1956,1788,0.9141104294478528
2026-07-10,android,TRUE,1999,1856,0.928464232116058
2026-07-11,android,TRUE,1848,1680,0.9090909090909091
2026-07-12,android,TRUE,1936,1764,0.9111570247933884
2026-07-13,android,TRUE,1990,1831,0.9201005025125628
2026-07-14,android,TRUE,1967,1784,0.9069649211997967
2026-07-15,android,TRUE,1932,1769,0.9156314699792961
2026-07-16,android,TRUE,1972,1815,0.9203853955375254
2026-07-17,android,TRUE,1966,1821,0.9262461851475077
2026-07-18,android,TRUE,2026,1865,0.920533070088845
2026-07-19,android,TRUE,1940,1769,0.9118556701030928
2026-07-20,android,TRUE,1991,1818,0.9131089904570567
2026-07-21,android,TRUE,1969,1814,0.9212798374809548
2026-07-22,android,TRUE,1994,1817,0.9112337011033099
2026-07-23,android,TRUE,1932,1752,0.906832298136646
2026-07-24,android,TRUE,1870,1723,0.9213903743315508
2026-07-25,android,TRUE,1887,1715,0.9088500264970854
2026-07-26,android,TRUE,1974,1793,0.9083080040526849
2026-07-27,android,TRUE,1919,1765,0.9197498697238145
2026-07-28,android,TRUE,1992,1830,0.9186746987951807
2026-07-29,android,TRUE,1947,1792,0.9203903441191577
2026-07-30,android,TRUE,1944,1778,0.9146090534979424
2026-07-31,android,TRUE,1903,1738,0.9132947976878613
2025-12-01,android-tv,FALSE,1267,1214,0.9581689029202841
2025-12-02,android-tv,FALSE,1190,1149,0.965546218487395
2025-12-03,android-tv,FALSE,1252,1218,0.9728434504792333
2025-12-04,android-tv,FALSE,1202,1158,0.9633943427620633
2025-12-05,android-tv,FALSE,1219,1179,0.9671862182116489
2025-12-06,android-tv,FALSE,1164,1126,0.9673539518900344
2025-12-07,android-tv,FALSE,1145,1106,0.965938864628821
2025-12-08,android-tv,FALSE,1203,1163,0.9667497921862012
2025-12-09,android-tv,FALSE,1184,1150,0.9712837837837838
2025-12-10,android-tv,FALSE,1211,1169,0.9653179190751445
2025-12-11,android-tv,FALSE,1253,1213,0.9680766161213089
2025-12-12,android-tv,FALSE,1188,1154,0.9713804713804713
2025-12-13,android-tv,FALSE,1195,1155,0.9665271966527197
2025-12-14,android-tv,FALSE,1147,1102,0.960767218831735
2025-12-15,android-tv,FALSE,1245,1192,0.957429718875502
2025-12-16,android-tv,FALSE,1251,1208,0.9656274980015987
2025-12-17,android-tv,FALSE,1228,1189,0.9682410423452769
2025-12-18,android-tv,FALSE,1135,1095,0.9647577092511013
2025-12-19,android-tv,FALSE,1254,1224,0.9760765550239234
2025-12-20,android-tv,FALSE,1234,1189,0.9635332252836305
2025-12-21,android-tv,FALSE,1190,1146,0.9630252100840336
2025-12-22,android-tv,FALSE,1170,1132,0.9675213675213675
2025-12-23,android-tv,FALSE,1238,1189,0.9604200323101777
2025-12-24,android-tv,FALSE,1229,1191,0.9690805532953621
2025-12-25,android-tv,FALSE,1210,1172,0.968595041322314
2025-12-26,android-tv,FALSE,1207,1167,0.9668599834299917
2025-12-27,android-tv,FALSE,1170,1134,0.9692307692307692
2025-12-28,android-tv,FALSE,1225,1180,0.963265306122449
2025-12-29,android-tv,FALSE,1232,1197,0.9715909090909091
2025-12-30,android-tv,FALSE,1200,1157,0.9641666666666666
2025-12-31,android-tv,FALSE,1187,1148,0.9671440606571188
2026-01-01,android-tv,FALSE,1179,1144,0.9703138252756573
2026-01-02,android-tv,FALSE,1163,1121,0.9638865004299226
2026-01-03,android-tv,FALSE,1200,1159,0.9658333333333333
2026-01-04,android-tv,FALSE,1193,1149,0.9631181894383906
2026-01-05,android-tv,FALSE,1151,1108,0.9626411815812337
2026-01-06,android-tv,FALSE,1208,1161,0.9610927152317881
2026-01-07,android-tv,FALSE,1205,1165,0.966804979253112
2026-01-08,android-tv,FALSE,1166,1134,0.9725557461406518
2026-01-09,android-tv,FALSE,1251,1203,0.9616306954436451
2026-01-10,android-tv,FALSE,1223,1181,0.9656582174979559
2026-01-11,android-tv,FALSE,1213,1164,0.9596042868920033
2026-01-12,android-tv,FALSE,1193,1158,0.9706621961441744
2026-01-13,android-tv,FALSE,1219,1160,0.9515996718621821
2026-01-14,android-tv,FALSE,1197,1162,0.9707602339181286
2026-01-15,android-tv,FALSE,1194,1147,0.9606365159128978
2026-01-16,android-tv,FALSE,1163,1122,0.9647463456577816
2026-01-17,android-tv,FALSE,1110,1071,0.9648648648648649
2026-01-18,android-tv,FALSE,1218,1175,0.964696223316913
2026-01-19,android-tv,FALSE,1236,1206,0.9757281553398058
2026-01-20,android-tv,FALSE,1206,1164,0.9651741293532339
2026-01-21,android-tv,FALSE,1143,1089,0.952755905511811
2026-01-22,android-tv,FALSE,1223,1178,0.9632052330335241
2026-01-23,android-tv,FALSE,1219,1178,0.9663658736669402
2026-01-24,android-tv,FALSE,1180,1119,0.9483050847457627
2026-01-25,android-tv,FALSE,1140,1091,0.9570175438596491
2026-01-26,android-tv,FALSE,1209,1162,0.9611248966087675
2026-01-27,android-tv,FALSE,1171,1128,0.9632792485055508
2026-01-28,android-tv,FALSE,1233,1189,0.9643146796431468
2026-01-29,android-tv,FALSE,1215,1177,0.968724279835391
2026-01-30,android-tv,FALSE,1244,1207,0.9702572347266881
2026-01-31,android-tv,FALSE,1160,1110,0.9568965517241379
2026-02-01,android-tv,FALSE,1194,1136,0.9514237855946399
2026-02-02,android-tv,FALSE,1195,1146,0.9589958158995816
2026-02-03,android-tv,FALSE,1238,1188,0.9596122778675282
2026-02-04,android-tv,FALSE,1168,1126,0.964041095890411
2026-02-05,android-tv,FALSE,1220,1183,0.969672131147541
2026-02-06,android-tv,FALSE,1219,1166,0.9565217391304348
2026-02-07,android-tv,FALSE,1231,1190,0.966693744922827
2026-02-08,android-tv,FALSE,1292,1230,0.9520123839009288
2026-02-09,android-tv,FALSE,1193,1152,0.9656328583403185
2026-02-10,android-tv,FALSE,1171,1127,0.9624252775405636
2026-02-11,android-tv,FALSE,1219,1171,0.9606234618539786
2026-02-12,android-tv,FALSE,1197,1152,0.9624060150375939
2026-02-13,android-tv,FALSE,1210,1175,0.9710743801652892
2026-02-14,android-tv,FALSE,1196,1140,0.9531772575250836
2026-02-15,android-tv,FALSE,1145,1092,0.9537117903930131
2026-02-16,android-tv,FALSE,1201,1151,0.958368026644463
2026-02-17,android-tv,FALSE,1175,1133,0.9642553191489361
2026-02-18,android-tv,FALSE,1186,1144,0.9645868465430016
2026-02-19,android-tv,FALSE,1265,1225,0.9683794466403162
2026-02-20,android-tv,FALSE,1179,1128,0.9567430025445293
2026-02-21,android-tv,FALSE,1256,1202,0.9570063694267515
2026-02-22,android-tv,FALSE,1135,1099,0.9682819383259912
2026-02-23,android-tv,FALSE,1187,1147,0.966301600673968
2026-02-24,android-tv,FALSE,1204,1147,0.9526578073089701
2026-02-25,android-tv,FALSE,1247,1196,0.9591018444266239
2026-02-26,android-tv,FALSE,1219,1169,0.9589827727645611
2026-02-27,android-tv,FALSE,1204,1162,0.9651162790697675
2026-02-28,android-tv,FALSE,1231,1186,0.9634443541835905
2026-03-01,android-tv,FALSE,1137,1085,0.9542656112576957
2026-03-02,android-tv,FALSE,1182,1132,0.9576988155668359
2026-03-03,android-tv,FALSE,1246,1207,0.9686998394863563
2026-03-04,android-tv,FALSE,1226,1180,0.9624796084828712
2026-03-05,android-tv,FALSE,1206,1157,0.9593698175787728
2026-03-06,android-tv,FALSE,1239,1190,0.96045197740113
2026-03-07,android-tv,FALSE,1200,1163,0.9691666666666666
2026-03-08,android-tv,FALSE,1161,1120,0.9646856158484065
2026-03-09,android-tv,FALSE,1197,1150,0.960735171261487
2026-03-10,android-tv,FALSE,1212,1171,0.9661716171617162
2026-03-11,android-tv,FALSE,1186,1140,0.9612141652613828
2026-03-12,android-tv,FALSE,1143,1107,0.968503937007874
2026-03-13,android-tv,FALSE,1137,1105,0.9718557607739666
2026-03-14,android-tv,FALSE,1176,1133,0.9634353741496599
2026-03-15,android-tv,FALSE,1178,1146,0.9728353140916808
2026-03-16,android-tv,FALSE,1146,1117,0.974694589877836
2026-03-17,android-tv,FALSE,1211,1165,0.9620148637489678
2026-03-18,android-tv,FALSE,1150,1108,0.9634782608695652
2026-03-19,android-tv,FALSE,1230,1191,0.9682926829268292
2026-03-20,android-tv,FALSE,1199,1158,0.9658048373644704
2026-03-21,android-tv,FALSE,1177,1127,0.9575191163976211
2026-03-22,android-tv,FALSE,1281,1219,0.9516003122560499
2026-03-23,android-tv,FALSE,1255,1209,0.9633466135458167
2026-03-24,android-tv,FALSE,1244,1196,0.9614147909967846
2026-03-25,android-tv,FALSE,1227,1182,0.9633251833740831
2026-03-26,android-tv,FALSE,1215,1177,0.968724279835391
2026-03-27,android-tv,FALSE,1184,1152,0.972972972972973
2026-03-28,android-tv,FALSE,1152,1108,0.9618055555555556
2026-03-29,android-tv,FALSE,1159,1122,0.9680759275237274
2026-03-30,android-tv,FALSE,1118,1088,0.9731663685152058
2026-03-31,android-tv,FALSE,1225,1191,0.9722448979591837
2026-04-01,android-tv,FALSE,1169,1139,0.9743370402053037
2026-04-02,android-tv,FALSE,1146,1112,0.9703315881326352
2026-04-03,android-tv,FALSE,1140,1094,0.9596491228070175
2026-04-04,android-tv,FALSE,1217,1164,0.9564502875924404
2026-04-05,android-tv,FALSE,1127,1068,0.9476486246672582
2026-04-06,android-tv,FALSE,1220,1168,0.9573770491803278
2026-04-07,android-tv,FALSE,1241,1203,0.9693795326349718
2026-04-08,android-tv,FALSE,1265,1217,0.9620553359683794
2026-04-09,android-tv,FALSE,1139,1109,0.9736611062335382
2026-04-10,android-tv,FALSE,1220,1185,0.9713114754098361
2026-04-11,android-tv,FALSE,1200,1160,0.9666666666666667
2026-04-12,android-tv,FALSE,1209,1155,0.9553349875930521
2026-04-13,android-tv,FALSE,1175,1131,0.9625531914893617
2026-04-14,android-tv,FALSE,1223,1190,0.9730171708912511
2026-04-15,android-tv,FALSE,1196,1153,0.9640468227424749
2026-04-16,android-tv,FALSE,1171,1128,0.9632792485055508
2026-04-17,android-tv,FALSE,1192,1152,0.9664429530201343
2026-04-18,android-tv,FALSE,1215,1165,0.9588477366255144
2026-04-19,android-tv,FALSE,1246,1200,0.9630818619582665
2026-04-20,android-tv,FALSE,1154,1111,0.962738301559792
2026-04-21,android-tv,FALSE,1239,1196,0.9652945924132365
2026-04-22,android-tv,FALSE,1177,1136,0.9651656754460493
2026-04-23,android-tv,FALSE,1199,1151,0.9599666388657214
2026-04-24,android-tv,FALSE,1187,1153,0.9713563605728728
2026-04-25,android-tv,FALSE,1210,1159,0.9578512396694215
2026-04-26,android-tv,FALSE,1175,1134,0.9651063829787234
2026-04-27,android-tv,FALSE,1281,1236,0.9648711943793911
2026-04-28,android-tv,FALSE,1284,1240,0.9657320872274143
2026-04-29,android-tv,FALSE,1194,1145,0.958961474036851
2026-04-30,android-tv,FALSE,1147,1111,0.9686137750653879
2026-05-01,android-tv,FALSE,1217,1176,0.9663105998356615
2026-05-02,android-tv,FALSE,1162,1118,0.9621342512908778
2026-05-03,android-tv,FALSE,1191,1146,0.9622166246851386
2026-05-04,android-tv,FALSE,1203,1150,0.9559434746467166
2026-05-05,android-tv,FALSE,1331,1278,0.9601803155522164
2026-05-06,android-tv,FALSE,1161,1122,0.9664082687338501
2026-05-07,android-tv,FALSE,1171,1126,0.9615713065755764
2026-05-08,android-tv,FALSE,1212,1173,0.9678217821782178
2026-05-09,android-tv,FALSE,1169,1123,0.960650128314799
2026-05-10,android-tv,FALSE,1216,1170,0.962171052631579
2026-05-11,android-tv,FALSE,1258,1224,0.972972972972973
2026-05-12,android-tv,FALSE,1138,1093,0.960456942003515
2026-05-13,android-tv,FALSE,1234,1183,0.9586709886547812
2026-05-14,android-tv,FALSE,1255,1214,0.9673306772908367
2026-05-15,android-tv,FALSE,1152,1106,0.9600694444444444
2026-05-16,android-tv,FALSE,1243,1185,0.9533386967015286
2026-05-17,android-tv,FALSE,1181,1144,0.9686706181202371
2026-05-18,android-tv,FALSE,1112,1084,0.9748201438848921
2026-05-19,android-tv,FALSE,1234,1177,0.953808752025932
2026-05-20,android-tv,FALSE,1224,1174,0.9591503267973857
2026-05-21,android-tv,FALSE,1179,1142,0.9686174724342663
2026-05-22,android-tv,FALSE,1208,1158,0.9586092715231788
2026-05-23,android-tv,FALSE,1185,1127,0.9510548523206751
2026-05-24,android-tv,FALSE,1170,1133,0.9683760683760684
2026-05-25,android-tv,FALSE,1241,1198,0.9653505237711523
2026-05-26,android-tv,FALSE,1174,1127,0.9599659284497445
2026-05-27,android-tv,FALSE,1200,1155,0.9625
2026-05-28,android-tv,FALSE,1191,1141,0.9580184718723762
2026-05-29,android-tv,FALSE,1198,1152,0.9616026711185309
2026-05-30,android-tv,FALSE,1141,1089,0.9544259421560035
2026-05-31,android-tv,FALSE,1245,1188,0.9542168674698795
2026-06-01,android-tv,TRUE,1166,1130,0.9691252144082333
2026-06-02,android-tv,TRUE,1204,1161,0.9642857142857143
2026-06-03,android-tv,TRUE,1158,1117,0.9645941278065631
2026-06-04,android-tv,TRUE,1166,1110,0.9519725557461407
2026-06-05,android-tv,TRUE,1184,1133,0.9569256756756757
2026-06-06,android-tv,TRUE,1196,1149,0.9607023411371237
2026-06-07,android-tv,TRUE,1210,1153,0.952892561983471
2026-06-08,android-tv,TRUE,1244,1194,0.9598070739549839
2026-06-09,android-tv,TRUE,1220,1180,0.9672131147540983
2026-06-10,android-tv,TRUE,1189,1152,0.9688814129520605
2026-06-11,android-tv,TRUE,1187,1139,0.9595619208087616
2026-06-12,android-tv,TRUE,1217,1182,0.971240755957272
2026-06-13,android-tv,TRUE,1200,1147,0.9558333333333333
2026-06-14,android-tv,TRUE,1245,1189,0.9550200803212852
2026-06-15,android-tv,TRUE,1197,1151,0.9615705931495405
2026-06-16,android-tv,TRUE,1181,1135,0.9610499576629975
2026-06-17,android-tv,TRUE,1123,1067,0.95013357079252
2026-06-18,android-tv,TRUE,1251,1205,0.9632294164668266
2026-06-19,android-tv,TRUE,1177,1124,0.9549702633814783
2026-06-20,android-tv,TRUE,1161,1122,0.9664082687338501
2026-06-21,android-tv,TRUE,1193,1146,0.9606035205364627
2026-06-22,android-tv,TRUE,1174,1138,0.969335604770017
2026-06-23,android-tv,TRUE,1216,1159,0.953125
2026-06-24,android-tv,TRUE,1200,1163,0.9691666666666666
2026-06-25,android-tv,TRUE,1221,1175,0.9623259623259623
2026-06-26,android-tv,TRUE,1226,1178,0.9608482871125612
2026-06-27,android-tv,TRUE,1228,1176,0.9576547231270358
2026-06-28,android-tv,TRUE,1233,1186,0.9618815896188159
2026-06-29,android-tv,TRUE,1244,1206,0.9694533762057878
2026-06-30,android-tv,TRUE,1195,1156,0.9673640167364017
2026-07-01,android-tv,TRUE,1237,1185,0.957962813257882
2026-07-02,android-tv,TRUE,1191,1156,0.9706129303106633
2026-07-03,android-tv,TRUE,1167,1120,0.9597257926306769
2026-07-04,android-tv,TRUE,1231,1175,0.9545085296506904
2026-07-05,android-tv,TRUE,1165,1116,0.9579399141630901
2026-07-06,android-tv,TRUE,1166,1135,0.9734133790737565
